img_id,p_key,pred_class,pred_lat,pred_lng
vn,coarse,2992,22.247215270996094,114.1762924194336
3,coarse,5,40.5855712890625,-73.9713134765625
paris,coarse,991,48.85944747924805,2.294064521789551
1,coarse,617,34.78553771972656,128.9154052734375
5,coarse,610,40.69178771972656,14.542267799377441
2,coarse,2631,25.779939651489258,-80.14579772949219
vn,middle,6073,22.247215270996094,114.1762924194336
3,middle,4578,40.57468032836914,-73.98829650878906
paris,middle,3220,48.85951614379883,2.2922539710998535
1,middle,3012,35.1415901184082,129.041015625
5,middle,976,40.631221771240234,14.500189781188965
2,middle,4900,25.783832550048828,-80.13224792480469
vn,fine,9872,22.247215270996094,114.1762924194336
3,fine,6410,40.57468032836914,-73.98829650878906
paris,fine,5436,48.86220169067383,2.287489891052246
1,fine,6064,35.12409973144531,129.0504913330078
5,fine,1025,40.640411376953125,14.608572959899902
2,fine,9030,25.770235061645508,-80.13355255126953
vn,hierarchy,9872,22.247215270996094,114.1762924194336
3,hierarchy,6410,40.57468032836914,-73.98829650878906
paris,hierarchy,5037,48.861324310302734,2.2897324562072754
1,hierarchy,6064,35.12409973144531,129.0504913330078
5,hierarchy,1025,40.640411376953125,14.608572959899902
2,hierarchy,9030,25.770235061645508,-80.13355255126953
